44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: Array_Operations obj = new Array_Operations();
Execute Anonymous: obj.PerformOperation(); 
08:05:25.1 (1174233)|USER_INFO|[EXTERNAL]|0056F00000ATCAZ|ayman.shaikh@gmail.com|Pacific Standard Time|GMT-07:00
08:05:25.1 (1193490)|EXECUTION_STARTED
08:05:25.1 (1197357)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
08:05:25.1 (12696396)|VARIABLE_SCOPE_BEGIN|[1]|obj|Array_Operations|true|false
08:05:25.1 (12845898)|HEAP_ALLOCATE|[72]|Bytes:3
08:05:25.1 (12885537)|HEAP_ALLOCATE|[77]|Bytes:152
08:05:25.1 (12897576)|HEAP_ALLOCATE|[342]|Bytes:408
08:05:25.1 (12910228)|HEAP_ALLOCATE|[355]|Bytes:408
08:05:25.1 (12922511)|HEAP_ALLOCATE|[467]|Bytes:48
08:05:25.1 (12945922)|HEAP_ALLOCATE|[139]|Bytes:6
08:05:25.1 (12971563)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
08:05:25.1 (13002390)|STATEMENT_EXECUTE|[1]
08:05:25.1 (13005421)|STATEMENT_EXECUTE|[1]
08:05:25.1 (13008803)|HEAP_ALLOCATE|[1]|Bytes:1
08:05:25.1 (13014002)|HEAP_ALLOCATE|[1]|Bytes:5
08:05:25.1 (13043081)|METHOD_ENTRY|[1]|01p6F00000MPtB2|Array_Operations.Array_Operations()
08:05:25.1 (13049926)|STATEMENT_EXECUTE|[1]
08:05:25.1 (13053306)|STATEMENT_EXECUTE|[1]
08:05:25.1 (13090188)|HEAP_ALLOCATE|[50]|Bytes:5
08:05:25.1 (13115546)|HEAP_ALLOCATE|[56]|Bytes:5
08:05:25.1 (13127312)|HEAP_ALLOCATE|[64]|Bytes:7
08:05:25.1 (13150004)|SYSTEM_MODE_ENTER|false
08:05:25.1 (13163492)|HEAP_ALLOCATE|[1]|Bytes:5
08:05:25.1 (13172721)|SYSTEM_MODE_EXIT|false
08:05:25.1 (13184387)|METHOD_EXIT|[1]|Array_Operations
08:05:25.1 (13201875)|HEAP_ALLOCATE|[1]|Bytes:4
08:05:25.1 (13230238)|SYSTEM_MODE_ENTER|false
08:05:25.1 (13256308)|HEAP_ALLOCATE|[1]|Bytes:5
08:05:25.1 (13267544)|CONSTRUCTOR_ENTRY|[1]|01p6F00000MPtB2|<init>()|Array_Operations
08:05:25.1 (13295862)|VARIABLE_SCOPE_BEGIN|[1]|this|Array_Operations|true|false
08:05:25.1 (13333969)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x4cd2f3a4
08:05:25.1 (13344118)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
08:05:25.1 (13351660)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
08:05:25.1 (13388105)|STATEMENT_EXECUTE|[1]
08:05:25.1 (13392988)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
08:05:25.1 (13416396)|CONSTRUCTOR_EXIT|[1]|01p6F00000MPtB2|<init>()|Array_Operations
08:05:25.1 (13428660)|SYSTEM_MODE_EXIT|false
08:05:25.1 (13456917)|VARIABLE_ASSIGNMENT|[1]|obj|{}|0x4cd2f3a4
08:05:25.1 (13467647)|STATEMENT_EXECUTE|[2]
08:05:25.1 (13496096)|SYSTEM_MODE_ENTER|false
08:05:25.1 (13518875)|HEAP_ALLOCATE|[2]|Bytes:5
08:05:25.1 (13550540)|METHOD_ENTRY|[2]|01p6F00000MPtB2|Array_Operations.PerformOperation()
08:05:25.1 (13576425)|VARIABLE_SCOPE_BEGIN|[2]|this|Array_Operations|true|false
08:05:25.1 (13591366)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x4cd2f3a4
08:05:25.1 (13607099)|HEAP_ALLOCATE|[3]|Bytes:5
08:05:25.1 (13611825)|STATEMENT_EXECUTE|[2]
08:05:25.1 (13614002)|STATEMENT_EXECUTE|[3]
08:05:25.1 (13652350)|HEAP_ALLOCATE|[3]|Bytes:4
08:05:25.1 (13695433)|VARIABLE_SCOPE_BEGIN|[3]|myList|List<Integer>|true|false
08:05:25.1 (13724320)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:05:25.1 (13752069)|VARIABLE_ASSIGNMENT|[3]|myList|[]|0x436b009
08:05:25.1 (13761565)|STATEMENT_EXECUTE|[6]
08:05:25.1 (13777494)|HEAP_ALLOCATE|[6]|Bytes:4
08:05:25.1 (13802444)|VARIABLE_SCOPE_BEGIN|[6]|arrayOfnum|List<Integer>|true|false
08:05:25.1 (13828742)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:05:25.1 (13839433)|VARIABLE_ASSIGNMENT|[6]|arrayOfnum|[]|0x344a2564
08:05:25.1 (13853553)|STATEMENT_EXECUTE|[7]
08:05:25.1 (13861066)|HEAP_ALLOCATE|[7]|Bytes:4
08:05:25.1 (13877736)|VARIABLE_SCOPE_BEGIN|[7]|sortedarray|List<Integer>|true|false
08:05:25.1 (13895551)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:05:25.1 (13902880)|VARIABLE_ASSIGNMENT|[7]|sortedarray|[]|0x2d8c2a13
08:05:25.1 (13908156)|STATEMENT_EXECUTE|[9]
08:05:25.1 (13945038)|HEAP_ALLOCATE|[9]|Bytes:4
08:05:25.1 (13954184)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:05:25.1 (13964351)|STATEMENT_EXECUTE|[10]
08:05:25.1 (13980089)|HEAP_ALLOCATE|[10]|Bytes:4
